ObjID;RelLength;Re;CellHeight;y;LHRatio;LayerNumber;BLHeight;ElNumber;GCSize;TurbModel;LossFactorCFX
1;3;60000;0.001;0.3;1.62;11;1.065;1400000;1;type1;0.022
2;3;100000;0.001;0.5;1.62;11;1.065;1400000;1;type1;0.020
3;3;140000;0.001;0.6;1.62;11;1.065;1400000;1;type1;0.019
4;3;60000;0.001;0.3;1.62;11;1.065;1400000;1;type2;0.028
5;3;100000;0.001;0.5;1.62;11;1.065;1400000;1;type2;0.024
6;3;140000;0.001;0.6;1.62;11;1.065;1400000;1;type2;0.022
7;3;60000;0.001;0.3;1.62;11;1.065;1400000;1;type3;0.029
8;3;100000;0.001;0.5;1.62;11;1.065;1400000;1;type3;0.025
9;3;140000;0.001;0.6;1.62;11;1.065;1400000;1;type3;0.023
10;3;60000;0.001;0.3;1.62;11;1.065;103969;3;type1;0.023
11;3;100000;0.001;0.5;1.62;11;1.065;103969;3;type1;0.021
12;3;140000;0.001;0.6;1.62;11;1.065;103969;3;type1;0.020
13;3;60000;0.001;0.3;1.62;11;1.065;103969;3;type2;0.030
14;3;100000;0.001;0.5;1.62;11;1.065;103969;3;type2;0.026
15;3;140000;0.001;0.6;1.62;11;1.065;103969;3;type2;0.023
16;3;60000;0.001;0.3;1.62;11;1.065;103969;3;type3;0.030
17;3;100000;0.001;0.5;1.62;11;1.065;103969;3;type3;0.026
18;3;140000;0.001;0.6;1.62;11;1.065;103969;3;type3;0.024
19;3;60000;0.001;0.3;1.62;11;1.065;30382;5;type1;0.024
20;3;100000;0.001;0.5;1.62;11;1.065;30382;5;type1;0.021
21;3;140000;0.001;0.6;1.62;11;1.065;30382;5;type1;0.020
22;3;60000;0.001;0.3;1.62;11;1.065;30382;5;type2;0.031
23;3;100000;0.001;0.5;1.62;11;1.065;30382;5;type2;0.026
24;3;140000;0.001;0.6;1.62;11;1.065;30382;5;type2;0.024
25;3;60000;0.001;0.3;1.62;11;1.065;30382;5;type3;0.032
26;3;100000;0.001;0.5;1.62;11;1.065;30382;5;type3;0.027
27;3;140000;0.001;0.6;1.62;11;1.065;30382;5;type3;0.024
28;3;60000;0.03;6.1;1.187;11;1.065;1398729;1;type1;0.022321
29;3;100000;0.03;8.4;1.187;11;1.065;1398729;1;type1;0.020826
30;3;140000;0.03;10.3;1.187;11;1.065;1398729;1;type1;0.01987
31;3;60000;0.03;6.1;1.187;11;1.065;1398729;1;type2;0.024493
32;3;100000;0.03;8.4;1.187;11;1.065;1398729;1;type2;0.022444
33;3;140000;0.03;10.3;1.187;11;1.065;1398729;1;type2;0.021447
34;3;60000;0.03;6.1;1.187;11;1.065;1398729;1;type3;0.026254
35;3;100000;0.03;8.4;1.187;11;1.065;1398729;1;type3;0.023823
36;3;140000;0.03;10.3;1.187;11;1.065;1398729;1;type3;0.022714
37;3;60000;1.00;40.5;;;;1028382;1;type1;0.029059
38;3;100000;1.00;61.6;;;;1028382;1;type1;0.028632
39;3;140000;1.00;82.5;;;;1028382;1;type1;0.027494
40;3;60000;1.00;40.5;;;;1028382;1;type2;0.024354
41;3;100000;1.00;61.6;;;;1028382;1;type2;0.021496
42;3;140000;1.00;82.5;;;;1028382;1;type2;0.019865
43;3;60000;1.00;40.5;;;;1028382;1;type3;0.024346
44;3;100000;1.00;61.6;;;;1028382;1;type3;0.021523
45;3;140000;1.00;82.5;;;;1028382;1;type3;0.019891
46;3;60000;0.001;0.3;1.62;6;0.047;1382134;1;type1;0.012806
47;3;100000;0.001;0.5;1.62;6;0.047;1382134;1;type1;0.012201
48;3;140000;0.001;0.6;1.62;6;0.047;1382134;1;type1;0.012598
49;3;60000;0.001;0.3;1.62;6;0.047;1382134;1;type2;0.058714
50;3;100000;0.001;0.5;1.62;6;0.047;1382134;1;type2;0.047927
51;3;140000;0.001;0.6;1.62;6;0.047;1382134;1;type2;0.040584
52;3;60000;0.001;0.3;1.62;6;0.047;1382134;1;type3;0.058632
53;3;100000;0.001;0.5;1.62;6;0.047;1382134;1;type3;0.047907
54;3;140000;0.001;0.6;1.62;6;0.047;1382134;1;type3;0.040572
55;3;60000;0.001;0.3;1.62;8;0.165;1370657;1;type1;0.021977
56;3;100000;0.001;0.5;1.62;8;0.165;1370657;1;type1;0.020922
57;3;140000;0.001;0.6;1.62;8;0.165;1370657;1;type1;0.019959
58;3;60000;0.001;0.3;1.62;8;0.165;1370657;1;type2;0.02832
59;3;100000;0.001;0.5;1.62;8;0.165;1370657;1;type2;0.025673
60;3;140000;0.001;0.6;1.62;8;0.165;1370657;1;type2;0.024414
61;3;60000;0.001;0.3;1.62;8;0.165;1370657;1;type3;0.028107
62;3;100000;0.001;0.5;1.62;8;0.165;1370657;1;type3;0.026269
63;3;140000;0.001;0.6;1.62;8;0.165;1370657;1;type3;0.024983
64;10;60000;0.001;0.3;1.62;11;1.065;8423897;1;type1;0.018818
65;10;100000;0.001;0.4;1.62;11;1.065;8423897;1;type1;0.017307
66;10;140000;0.001;0.5;1.62;11;1.065;8423897;1;type1;0.016346
67;10;60000;0.001;0.3;1.62;11;1.065;8423897;1;type2;0.021869
68;10;100000;0.001;0.4;1.62;11;1.065;8423897;1;type2;0.019538
69;10;140000;0.001;0.5;1.62;11;1.065;8423897;1;type2;0.018168
70;10;60000;0.001;0.3;1.62;11;1.065;8423897;1;type3;0.022769
71;10;100000;0.001;0.4;1.62;11;1.065;8423897;1;type3;0.020285
72;10;140000;0.001;0.5;1.62;11;1.065;8423897;1;type3;0.018857
73;10;60000;0.001;0.3;1.62;11;1.065;554519;3;type1;0.018827
74;10;100000;0.001;0.4;1.62;11;1.065;554519;3;type1;0.017373
75;10;140000;0.001;0.5;1.62;11;1.065;554519;3;type1;0.016504
76;10;60000;0.001;0.3;1.62;11;1.065;554519;3;type2;0.024428
